日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260331,6090,ヒューマン・メタボローム・テクノロジーズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6091,ウエスコホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6092,エンバイオ・ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6093,エスクロー・エージェント・ジャパン,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6094,フリークアウト・ホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6096,レアジョブ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6098,リクルートホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,1,TOPIX Core30
20260331,6099,エラン,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260331,6101,ツガミ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6103,オークマ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6104,芝浦機械,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6113,アマダ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260331,6118,アイダエンジニアリング,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6125,岡本工作機械製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6134,ＦＵＪＩ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
